"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6AMKVd0lAHITQcm5JntRzv","You're The Reason I'm Living - 2004 Digital Remaster","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","spotify:album:6B0JGDZmuQBmYoIg3Crvc5","The Legendary Bobby Darin","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","2004-09-28","https://i.scdn.co/image/ab67616d0000b2738c8f718b447e47d1c4b47934","1","14","146533","https://p.scdn.co/mp3-preview/cf4c5c317ec67ea25cbe8a1f5036d1af2cee3427?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USCA20400979","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:3JGhIr4i7Pg182Q9uRZ4Ly","Walk Like a Man","spotify:artist:4uHsvbEomrfo1KXllQ9K3s","The Four Seasons","spotify:album:5sCVURwZOOd13unG0uJmNX","Jersey Boys Original Broadway Cast Recording","spotify:artist:28W9apMi2vgk9O9LnkijIC","Jersey Boys","2005-11-15","https://i.scdn.co/image/ab67616d0000b273719da63af6072078bb73536d","1","7","112573","https://p.scdn.co/mp3-preview/0b9ab1a4ebbadcb788d18a58fa0779abbc43df36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USRH10531558","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:0kPkuVQC4pF74J7gHBolP8","Mockingbird","spotify:artist:6OlCESvM7vIkFZ6mv6iitB","Inez & Charlie Foxx","spotify:album:2Q3otgNORhIaWGZcODM8IV","Mockingbird","spotify:artist:6OlCESvM7vIkFZ6mv6iitB","Inez & Charlie Foxx","1962-11-25","https://i.scdn.co/image/ab67616d0000b273cdbbe3003f8b0e73644630f7","1","1","158093","https://p.scdn.co/mp3-preview/367b34bb3fcf0e73dc432c1c8c8e5950c967b684?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","QM4TX1767658","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:1mspRB1JIDtaMPXewN8XOs","I Will Follow Him","spotify:artist:09vvlnqwFaimZwGAvpXgqy","Little Peggy March","spotify:album:0wPcTchjoE6Oq5Wj3ojpE4","I Will Follow Him","spotify:artist:09vvlnqwFaimZwGAvpXgqy","Little Peggy March","2011-01-01","https://i.scdn.co/image/ab67616d0000b273e21909ff12fab53df3dec362","1","18","151933","https://p.scdn.co/mp3-preview/78a8512726cf2c7166c181726b8cb21984cce92d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USA371166314","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:5xt3I18ECruG6xcHLIp3Q6","Pipeline","spotify:artist:4x6kNCpQ9veqQ17vllEJUR","The Chantays","spotify:album:0GH8KbaF7UZFyVYDJLmVX9","True 60s 3CD Set","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2006-01-01","https://i.scdn.co/image/ab67616d0000b273e23d3ac5f93eaee79e043755","2","15","138720","https://p.scdn.co/mp3-preview/6e09a1f370b112af2cd9425a43de0988ba32d0b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMC16350518","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:4OSHKsBiXLT2DaM3nol2qv","Surf City (Rerecorded)","spotify:artist:0pqGj6vO9YHsXuZmaJaP2Y","Jan & Dean","spotify:album:6Mio3JCszE0BTyjTmfYsLY","#1 Hits of the 60's","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2009-09-30","https://i.scdn.co/image/ab67616d0000b27366208872c4bbb42fd20ce7da","1","6","148080","https://p.scdn.co/mp3-preview/9027533a37317f205e87da9088b0dc86efa46bc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDEI7703506","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:5KWkrqLnKc13HTQjOhXF5i","It's My Party (Rerecorded)","spotify:artist:08b2PA6eFyugsWAk41eQKZ","Lesley Gore","spotify:album:3tuzyPpHIp4lvGmnbd6ZLT","Rock & Roll Party","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2002-08-01","https://i.scdn.co/image/ab67616d0000b27330d2ad22b88ac29f27abd22c","1","18","134453","https://p.scdn.co/mp3-preview/23453453fdc7c7aedf264516ba0b24da89ef8655?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDEI7904249","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:2Y6btCoxL2RThLo9G77ORZ","Blame It On The Bossa Nova","spotify:artist:6HnHBbeScFiQKXt3sUQA3Z","Eydie Gormé","spotify:album:3zVKm13HhCJa8QoOqFHrwF","The Hits of Steve Lawrence & Eydie Gorme","spotify:artist:271pvVqDFiREx6PqzwOX8p","Steve Lawrence","2011-09-01","https://i.scdn.co/image/ab67616d0000b273efd80c3e5efcd5f024e9b02c","1","7","152331","https://p.scdn.co/mp3-preview/b49f748d17b517e15efcc343fa9486621e488075?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USESK0618401","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:27FybK4mRxeue1yt3BOp6p","You Can't Sit Down","spotify:artist:6LaraO4gcDKWw0fwIOTodm","The Dovells","spotify:album:4Fy80EgMqasVPmgoOJertw","Cameo Parkway - The Best Of The Dovells (Original Hit Recordings) [International Version]","spotify:artist:6LaraO4gcDKWw0fwIOTodm","The Dovells","1963-01-01","https://i.scdn.co/image/ab67616d0000b27331fcf9d9cdac646dc3a87444","1","12","139373","https://p.scdn.co/mp3-preview/f53decb0993253f9753dceabdee4c521bcd6310f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA176340550","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:0WVy3OwqyBKCRRmOHIuQgP","Heatwave - Motorcity Version","spotify:artist:1Pe5hlKMCTULjosqZ6KanP","Martha Reeves & The Vandellas","spotify:album:3y8GQvuF21iVH4y1wrSFdx","Legends of Motorcity","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2006-11-21","https://i.scdn.co/image/ab67616d0000b273cb837071398e3370104f67de","1","1","152866","https://p.scdn.co/mp3-preview/2781c7789a4c72114bb90c9fa33755f78875f30a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA560601375","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:4X6rVGezXcDzTS4ZagHGpv","Denise","spotify:artist:2V0ryJRGIdudWKl27c806m","Randy & The Rainbows","spotify:album:0M22MEGLKJkDgKlu8t3jfz","Doo Wop","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2008-10-27","https://i.scdn.co/image/ab67616d0000b2736ca48edec638c775b754b257","1","32","123479","https://p.scdn.co/mp3-preview/03b9de477c489c770f4f584b89e458de1971ba1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBGVZ0822111","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:2Xyy1ioiuGUb1errqFdVik","Walk Right In","spotify:artist:6Gb08eT3LlkGynDscl9vbz","The Rooftop Singers","spotify:album:4ddTqvl6lA8PSljd2PxAgH","# 1 Country Hits of the '50s and '60s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2011-07-19","https://i.scdn.co/image/ab67616d0000b27337dd8738cf47380eeb8a34fc","1","16","155733","https://p.scdn.co/mp3-preview/4fd6536e3c7806d18f922f7dca593436fa8aed02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USXTN1059727","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:7D97JnBT73FWUh9KmRvP9M","If You Wanna Be Happy","spotify:artist:7k4MYPtpz3fAViMuuLi9ry","Jimmy Soul","spotify:album:52RYT3SK1MzjGDOfcDupUA","Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""","spotify:artist:7k4MYPtpz3fAViMuuLi9ry","Jimmy Soul","2012-01-10","https://i.scdn.co/image/ab67616d0000b2731aec0458e2092221dacbbef9","1","5","143000","https://p.scdn.co/mp3-preview/5a1c9941770f0182fb57f8cbab95480ec4a0346c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCABD1116514","spotify:user:yjwstn","2025-02-19T10:20:55Z"
