"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:1lOe9qE0vR9zwWQAOk6CoO","Ransom","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","spotify:album:1I6FpscJIfwf4T56VxGVsB","We Love You Tecca","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","2019-08-30","https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058","1","1","131240","https://p.scdn.co/mp3-preview/42c3aa916ed1ff079832d9d87afe612e434e59ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","QZ85M1940160","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T04:31:49Z"
"spotify:track:52okn5MNA47tk87PeZJLEL","Let You Down","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","NF","spotify:album:1KOmHyNLuOe5YrPhD3Juuf","Perception","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","NF","2017-10-06","https://i.scdn.co/image/ab67616d0000b273cd733919ee57d0cc466e152f","1","6","212120","https://p.scdn.co/mp3-preview/48e3201996af61c4e48bb5f8dbdd004db4a6a63b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM71708226","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T03:25:45Z"
"spotify:track:5HQVUIKwCEXpe7JIHyY734","Young, Wild & Free (feat. Bruno Mars)","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Snoop Dogg, Wiz Khalifa, Bruno Mars","spotify:album:11Bkx3E99vf0IlYPND61LJ","Young, Wild & Free (feat. Bruno Mars)","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:137W8MRPWKqSmrBGDBFSop","Snoop Dogg, Wiz Khalifa","2011-10-11","https://i.scdn.co/image/ab67616d0000b2738596df2f2646ab9aba464c30","1","1","207333","https://p.scdn.co/mp3-preview/45cf05c4798c3265393d56e70622e104bc28991e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT21102232","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T05:39:57Z"
"spotify:track:2TH65lNHgvLxCKXM3apjxI","Callaita","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:0GM7qgcRCORpGnfcN2tCiB","Bad Bunny, Tainy","spotify:album:06S3Qjh4QWLtn6c7CVhYh7","Callaita","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:0GM7qgcRCORpGnfcN2tCiB","Bad Bunny, Tainy","2019-05-31","https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5","1","1","250533","https://p.scdn.co/mp3-preview/b11575ba6e4fce400d06fd57b3cceb6feb62eb03?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","QM6N21919851","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T05:51:06Z"
"spotify:track:0VWUhOUNIVOfUoBaq7xqMo","In the Name of Love","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","Martin Garrix, Bebe Rexha","spotify:album:3UwcZ5menPSCTvdxyYgxZj","The Martin Garrix Experience","spotify:artist:60d24wfXkVzDSfLS6hyCjZ","Martin Garrix","2019-07-10","https://i.scdn.co/image/ab67616d0000b273c6f9783d7f7670d09454ef71","1","4","195706","https://p.scdn.co/mp3-preview/4ed5a7f1b466a7635d625240b600af899a8e5b51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","NLM5S1600003","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T18:05:36Z"
"spotify:track:7floNISpH8VF4z4459Qo18","Look At Me!","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:3cyyJALrHc8LawnQNFYRWL","Look At Me!","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-02-20","https://i.scdn.co/image/ab67616d0000b27371af28545729f60b3eca66f7","1","1","126345","https://p.scdn.co/mp3-preview/7add0b609734fafbb2a8284bd5821203d41b46c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUYG1131080","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T04:32:05Z"
"spotify:track:5WuBu7WHqaDAIs5dikGclg","Shake It Off","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4uUAUqIfSomFTbbjGp3TYp","1989","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2014-10-27","https://i.scdn.co/image/ab67616d0000b2736908b965e59de1f8fe30a1e3","1","6","219200","https://p.scdn.co/mp3-preview/b2f4ace48deea16c8c94a7dee85f5db6cd90b8dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USCJY1431349","spotify:user:mn5p25u214rrj1ehw4tvolww5","2022-02-10T04:11:58Z"
"spotify:track:3d9DChrdc6BOeFsbrZ3Is0","Under the Bridge","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","11","264306","https://p.scdn.co/mp3-preview/46b0229c06712c5b5e143724c0617e51a9b6e432?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USWB19901576","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T06:02:29Z"
"spotify:track:2DlHlPMa4M17kufBvI2lEN","Chop Suey!","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6jWde94ln40epKIQCd8XUh","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578","1","6","210240","https://p.scdn.co/mp3-preview/d536012652d7c99c472fe3811312ce3026f2196b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM10107256","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T14:45:52Z"
"spotify:track:35mvY5S1H3J2QZyna3TFe0","positions","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3euz4vS7ezKGnNSwgyvKcd","Positions","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2020-10-30","https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605","1","12","172324","https://p.scdn.co/mp3-preview/bcab917e186664a542f5fff3ba74708527d525b6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUM72019412","spotify:user:mn5p25u214rrj1ehw4tvolww5","2021-05-02T18:30:20Z"
